task_id,baryon_fraction,scale_radius_over_rs,assembly_time_myr,sigma_over_m_cm2_g,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr,steps,mass_budget_residual_code
66,0.05,0.1,0.2,30.0,174.7370721999395,74.73707219993949,3.1419673427810046,68.19238048755074,29.82793129511099,634555,9.769962616701378e-14
67,0.05,0.1,0.5,30.0,166.42778980787298,66.42778980787298,2.792642795413476,67.98711214202147,28.00420165404003,621758,4.973799150320701e-14
68,0.05,0.1,1.0,30.0,155.3969639651997,55.39696396519969,2.3289038029511473,67.95795533766587,25.36534206476158,606754,7.72715225139109e-14
69,0.05,0.15,0.0,30.0,151.80001940810965,51.80001940810965,2.1776872513857257,75.81433658355314,14.344788642771539,614105,1.794120407794253e-13
70,0.05,0.15,0.05,30.0,150.628330051559,50.628330051559004,2.1284291043135797,69.75267147588143,14.195040953989725,611948,2.8332891588433995e-13
71,0.05,0.15,0.2,30.0,147.86086126023503,47.860861260235026,2.012083945096698,68.0544808875366,13.86068967638422,606967,2.291500322826323e-13
72,0.05,0.15,0.5,30.0,143.43309459005812,43.43309459005812,1.8259394003661737,67.96556222894678,13.318496739887214,599539,2.3359092438113294e-13
73,0.05,0.15,1.0,30.0,137.99624650589638,37.99624650589638,1.5973727917840477,67.95254385731765,12.50757723926424,591527,8.881784197001252e-14
74,0.05,0.2,0.0,30.0,139.8661897286898,39.86618972868979,1.675985725980262,72.06559798691409,9.12595906045715,599511,4.2543746303636e-13
75,0.05,0.2,0.05,30.0,139.17993582068252,39.179935820682516,1.647135420444525,68.80203443196177,9.070415226797492,598173,4.1033842990145786e-13
76,0.05,0.2,0.2,30.0,137.5281487732035,37.5281487732035,1.5776938326536143,68.00764884563796,8.942529568343877,595040,2.1049828546892968e-13
77,0.05,0.2,0.5,30.0,134.92070496218562,34.920704962185624,1.4680761682040664,67.95797585761598,8.72782286341532,590446,2.220446049250313e-13
78,0.05,0.2,1.0,30.0,131.78563148560917,31.785631485609173,1.3362768055762366,67.95062925559004,8.367382251438459,585609,2.6201263381153694e-13
79,0.05,0.3,0.0,30.0,130.99472115475766,30.994721154757656,1.3030267148588002,69.68232548524209,5.718363509762785,587718,1.3322676295501878e-13
80,0.05,0.3,0.05,30.0,130.6844045925267,30.684404592526704,1.2899809201045536,68.29565196977134,5.705016275906023,587078,6.927791673660977e-14
81,0.05,0.3,0.2,30.0,129.9299622094432,29.929962209443204,1.258263952074059,67.97453466364172,5.672162229394348,585566,3.597122599785507e-13
82,0.05,0.3,0.5,30.0,128.75056109138717,28.75056109138717,1.2086816003991367,67.95252942814443,5.609568013738729,583368,2.8421709430404007e-13
83,0.05,0.3,1.0,30.0,127.34410239122246,27.344102391222464,1.1495536846966627,67.94925161549908,5.477961298194549,581084,9.059419880941277e-14
84,0.05,0.01,0.0,50.0,1081.0012735518837,981.0012735518837,44.34378447824264,1438.561570634304,1438.561570634304,1050206,1.2079226507921703e-13
85,0.05,0.01,0.05,50.0,1088.0059658632765,988.0059658632765,44.66041461376547,1430.196704237187,1430.196704237187,1055570,1.270095140171179e-13
