task_id,matrix,case_type,halo_mass_msun,baryon_fraction,supply_radius_pc,predicted_time_myr,assembly_multiplier,assembly_time_myr,accreted_dark_matter_msun,final_black_hole_mass_msun,peak_accretion_rate_msun_myr,steps,elapsed_seconds,mass_budget_residual_code,cells,r_max_pc,nfw_scale_radius_pc,nfw_concentration,enhancement_over_matched_control
37,base,baryon,100000000.0,0.16,4.924963702897868,0.5951686768330706,1.0,0.5951686768330706,888.096038751783,988.096038751783,606.1329214926697,3289598,99.39585535397055,1.8189894035458565e-12,284,23207.944168063892,139.24766500838336,3.9200662204075956,49.338259146483665
38,base,baryon,100000000.0,0.16,4.924963702897868,0.5951686768330706,2.0,1.1903373536661412,922.3820407485435,1022.3820407485435,680.3093253212733,2907805,87.3927875260124,8.15347789284715e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,51.243021219277715
0,refinement,refinement,1000000.0,0.01,1.0751648436208394,0.5641081809162258,0.25,0.14102704522905646,487.96431756358777,587.9643175635878,395.69211788260344,879584,29.730386939947493,5.3290705182007514e-14,256,5000.0,30.0,3.9200662204075956,22.057244077541018
1,refinement,refinement,1000000.0,0.01,1.0751648436208394,0.5641081809162258,0.75,0.4230811356871694,451.25733492011193,551.2573349201119,379.093924371868,849327,28.961649689939804,3.019806626980426e-14,256,5000.0,30.0,3.9200662204075956,20.397993910316035
2,refinement,refinement,1000000.0,0.05,1.0751648436208394,0.5641081809162258,0.75,0.4230811356871694,1235.2017065856774,1335.2017065856774,1590.3374826096192,1140701,36.613220199011266,1.9273471707492718e-13,256,5000.0,30.0,3.9200662204075956,55.83429883396159
3,refinement,refinement,1000000.0,0.05,1.0751648436208394,0.5641081809162258,1.25,0.7051352261452823,1276.1138270465785,1376.1138270465785,1642.131752154113,1131498,36.410165940993465,3.623767952376511e-13,256,5000.0,30.0,3.9200662204075956,57.68363206234516
4,refinement,refinement,1000000.0,0.16,1.0751648436208394,0.5641081809162258,1.5,0.8461622713743387,1968.1500101150828,2068.1500101150828,2769.471198108432,1409779,43.76133749703877,2.9753977059954195e-13,256,5000.0,30.0,3.9200662204075956,88.96545011954915
5,refinement,refinement,1000000.0,0.16,1.0751648436208394,0.5641081809162258,2.5,1.4102704522905647,1963.2357811038296,2063.2357811038296,2868.194354089598,1328182,41.59336128004361,7.993605777301127e-14,256,5000.0,30.0,3.9200662204075956,88.74331430991585
6,refinement,refinement,1000000.0,0.16,1.0751648436208394,0.5641081809162258,3.0,1.6923245427486775,1867.528312265746,1967.528312265746,2814.982791218963,1272504,40.12320035195444,1.3233858453531866e-13,256,5000.0,30.0,3.9200662204075956,84.417090190198
7,refinement,refinement,10000000.0,0.01,2.3003306364458274,0.5936172039255486,0.25,0.14840430098138715,351.75690392540264,451.75690392540264,350.882468819005,874575,32.91061985690612,4.263256414560601e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,22.920836151400813
8,refinement,refinement,10000000.0,0.01,2.3003306364458274,0.5936172039255486,0.75,0.4452129029441615,341.65783757142714,441.65783757142714,352.204226749169,849175,23.97748761891853,2.398081733190338e-14,270,10772.173450159418,64.63304070095651,3.9200662204075956,22.262770758516055
9,refinement,refinement,10000000.0,0.05,2.3003306364458274,0.5936172039255486,0.75,0.4452129029441615,633.7800916354483,733.7800916354483,689.2774882221336,1269174,35.67551107995678,4.698463840213662e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,41.29775272151193
10,refinement,refinement,10000000.0,0.05,2.3003306364458274,0.5936172039255486,1.25,0.7420215049069357,689.3146920946687,789.3146920946687,805.6293713949905,1234637,34.59490341111086,1.1546319456101628e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,44.91644353796635
11,refinement,refinement,10000000.0,0.16,2.3003306364458274,0.5936172039255486,1.5,0.890425805888323,1191.670710787367,1291.670710787367,1380.0634472686647,1828161,51.086044509895146,1.446842645691504e-12,270,10772.173450159418,64.63304070095651,3.9200662204075956,77.65047054818605
12,refinement,refinement,10000000.0,0.16,2.3003306364458274,0.5936172039255486,2.5,1.4840430098138715,1218.3838111501743,1318.3838111501743,1594.274837105645,1648022,46.142483402974904,7.034373084024992e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,79.39112322530217
13,refinement,refinement,10000000.0,0.16,2.3003306364458274,0.5936172039255486,3.0,1.780851611776646,1133.3347414253583,1233.3347414253583,1586.4474143378336,1547386,43.32872526301071,4.0945025148175773e-13,270,10772.173450159418,64.63304070095651,3.9200662204075956,73.84923969654282
14,refinement,refinement,100000000.0,0.01,4.924963702897868,0.5951686768330706,0.25,0.14879216920826766,168.48745988466288,268.4874598846629,268.7069453745787,1130411,33.46949481102638,6.039613253960852e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,9.360336715842129
15,refinement,refinement,100000000.0,0.01,4.924963702897868,0.5951686768330706,0.75,0.44637650762480297,151.36214122698985,251.36214122698985,189.5735584049806,1081774,34.48060672299471,3.4638958368304884e-14,284,23207.944168063892,139.24766500838336,3.9200662204075956,8.408938023549867
16,refinement,refinement,100000000.0,0.05,4.924963702897868,0.5951686768330706,0.75,0.44637650762480297,412.2763206673699,512.2763206673699,306.1933204015463,2017273,59.18890674598515,1.0258460747536446e-12,284,23207.944168063892,139.24766500838336,3.9200662204075956,22.904049856628927
17,refinement,refinement,100000000.0,0.05,4.924963702897868,0.5951686768330706,1.25,0.7439608460413383,393.60486455796564,493.60486455796564,235.2191675461265,1919323,56.324704580008984,5.302425165609748e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,21.866755352463873
18,refinement,refinement,100000000.0,0.16,4.924963702897868,0.5951686768330706,1.5,0.8927530152496059,956.4266945615514,1056.4266945615514,610.1965474750677,3094304,90.56284991896246,9.681144774731365e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,53.134375170973435
19,refinement,refinement,100000000.0,0.16,4.924963702897868,0.5951686768330706,2.5,1.4879216920826766,837.4567984824982,937.4567984824982,703.3292022172375,2725855,79.8438295610249,8.641976023682219e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,46.52499137997207
20,refinement,refinement,100000000.0,0.16,4.924963702897868,0.5951686768330706,3.0,1.7855060304992119,730.881122611008,830.881122611008,695.1272880244538,2547500,74.61451325495727,7.487344078072056e-13,284,23207.944168063892,139.24766500838336,3.9200662204075956,40.604169660904724
