task_id,boundary_protocol,halo_mass_msun,halo_redshift,halo_concentration,halo_scale_radius_pc,halo_scale_density_msun_pc3,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,dark_accreted_halo_fraction,mass_budget_residual_code,r_min_pc,r_min_over_rs,r_min_over_influence_radius,cells,steps
7,fixed_rmin,10000000.0,20.0,4.0,79.73849176971106,1.9391104348624442,434.2837682303344,324.93814252093915,9.345625709390882,0.972042837261079,3.2493814252093914e-05,7.460698725481052e-14,0.005,6.270497333258149e-05,1.567624333314537,274,1058840
8,fixed_rmin,10000000.0,25.0,4.0,64.40655087401824,3.6797343523210895,822.1956549214513,707.9816011327044,14.214053788713658,0.9803182784445127,7.079816011327044e-05,1.199040866595169e-13,0.005,7.763185471273253e-05,1.940796367818313,270,1258771
9,fixed_rmin,10000000.0,30.0,4.0,54.01931088358988,6.23676636095096,1597.604317363831,1474.531941129612,23.072376234089422,0.9845938102830578,0.00014745319411296122,1.9806378759312793e-13,0.005,9.255949248917414e-05,2.313987312229353,267,1507125
10,fixed_rmin,100000000.0,10.0,4.0,327.81258538099746,0.2790806494809567,130.56462590388338,25.719309925081813,4.845315978790486,0.8414730808733389,2.571930992508181e-07,8.251177519014163e-13,0.005,1.5252617571679841e-05,3.8131543929199605,300,1251279
11,fixed_rmin,100000000.0,15.0,4.0,225.45393221699663,0.8578930525805546,168.7952225071307,63.071369253639716,5.723853253486926,0.9167986810000115,6.307136925363971e-07,5.631051180898794e-13,0.005,2.2177479677700017e-05,5.544369919425004,293,1495745
12,fixed_rmin,100000000.0,20.0,4.0,171.79137279948736,1.9391104348624444,270.2079759561096,162.41361335422118,7.794362601901654,0.9542068310365298,1.6241361335422118e-06,1.0809131367750524e-12,0.005,2.9105070403249728e-05,7.2762676008124325,288,1718557
13,fixed_rmin,100000000.0,25.0,4.0,138.7597074682882,3.6797343523210904,527.0261454679459,414.68983944143486,12.33630602655055,0.9711111224513137,4.146898394414348e-06,5.81756864903582e-13,0.005,3.6033514996726896e-05,9.008378749181723,284,1956105
14,fixed_rmin,100000000.0,30.0,4.0,116.38107729922292,6.236766360950961,1145.6886378487047,1023.86842690111,21.820210947637385,0.979133166262105,1.02386842690111e-05,6.616929226765933e-13,0.005,4.2962310678261654e-05,10.740577669565415,281,2248030
15,fixed_rmin,1000000000.0,10.0,4.0,706.2508057738596,0.27908064948095673,127.28058834161976,22.4634416183812,4.817146723250922,0.8234221834618781,2.24634416183812e-08,9.734435479913373e-13,0.005,7.079637940407522e-06,17.699094851018806,315,2358369
16,fixed_rmin,1000000000.0,15.0,4.0,485.7257725723944,0.857893052580555,175.67013515345946,69.55699612651347,6.113139026952629,0.919213319567244,6.955699612651347e-08,2.5126567493316543e-12,0.005,1.0293874202968675e-05,25.734685507421688,308,2747415
17,fixed_rmin,1000000000.0,20.0,4.0,370.11329300741534,1.9391104348624442,315.3648687883832,205.9450333627338,9.419835425653496,0.9562610397942605,2.0594503336273378e-07,2.327027459614328e-12,0.005,1.3509376978523771e-05,33.77344244630943,303,3098568
18,fixed_rmin,1000000000.0,25.0,4.0,298.9487273483564,3.67973435232109,700.510382907263,583.1161345247291,17.394248382494034,0.9710342254228432,5.831161345247291e-07,1.91491267287347e-12,0.005,1.6725276084462617e-05,41.81319021115654,299,3464775
19,fixed_rmin,1000000000.0,30.0,4.0,250.73543019672803,6.236766360950961,1714.595412286094,1578.9590606895079,35.63635159668572,0.9779286183241851,1.5789590606895079e-06,1.5223378113660146e-12,0.005,1.9941338151042236e-05,49.85334537760559,295,3893171
