task_id,design,axis,axis_value,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,initial_dynamical_time_myr,assembly_over_dynamical_time,r_min_over_reference_influence,cells,final_black_hole_mass_msun,growth_factor,reaches_1e7,time_to_1e7_msun_myr,dark_fraction_of_growth,initial_inner_lmfp_effective_sigma_cm2_g,final_inner_lmfp_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
44,latin_hypercube,joint,16.0,constant_sigma1,constant,1.0,0.0,388320619.39336437,15.455510237326767,11.854709970124446,1337.2750484438643,0.025400876587149367,1.6738630577134983,0.8743778373604225,1.9143475351188761,0.20833333333333334,238,1430.0568382551105,1.0693812315717794,False,nan,0.9983605658906365,1.0,1.0,1.0,1.0,3.4017233474514796e-13,782949
45,latin_hypercube,joint,17.0,constant_sigma1,constant,1.0,0.0,163503331.4899607,25.308722366264114,6.8592726150509815,293.92652744025844,0.01354356357700714,0.8785650327721526,0.5796491604621876,1.5156841287782115,0.20833333333333334,222,300.2260687812253,1.0214323674553236,False,nan,0.9985670203839639,1.0,1.0,1.0,1.0,1.687538997430238e-14,796251
46,latin_hypercube,joint,18.0,constant_sigma1,constant,1.0,0.0,2004930182.3865616,15.853802645575877,8.292516089361232,146.39342015688308,0.041343284827335354,1.2489798726193673,1.7835109882363613,0.7002927825269137,0.20833333333333334,269,148.2682701607753,1.0128069280838103,False,nan,0.9989649422374054,1.0,1.0,1.0,1.0,6.128431095930864e-14,947573
47,latin_hypercube,joint,19.0,constant_sigma1,constant,1.0,0.0,408473614.5078378,19.29668561214001,6.134604603060684,304.081340880897,0.014963468791500213,1.4882874946604037,1.0320483290088542,1.4420715123774357,0.20833333333333334,239,313.5591131036893,1.0311685425857964,False,nan,0.9991646317024417,1.0,1.0,1.0,1.0,1.5942802633617248e-13,936307
48,latin_hypercube,joint,20.0,constant_sigma1,constant,1.0,0.0,1162506790.8874602,27.392214220837616,4.323327639951704,3913.0609617437426,0.010360290593146646,1.1386198853022957,0.756475372150307,1.505164513242156,0.20833333333333334,259,4653.4492694769115,1.189209499921319,False,nan,0.9973624628226037,1.0,1.0,1.0,1.0,1.213251721310371e-12,5331988
49,latin_hypercube,joint,21.0,constant_sigma1,constant,1.0,0.0,455430258.6423375,16.446523749659303,4.954890829877653,445.45692978508737,0.009107224000333734,1.23039641387365,1.2550741540844876,0.9803376237726458,0.20833333333333334,241,470.23989616165625,1.0556349328509167,False,nan,0.9992077540323708,1.0,1.0,1.0,1.0,1.3988810110276972e-13,851431
50,latin_hypercube,joint,22.0,constant_sigma1,constant,1.0,0.0,260034864.72532034,21.40871415993874,8.436513853525078,1781.2052883700571,0.012071322915129582,1.6289804036334465,0.5395360661195624,3.0192243038530457,0.20833333333333334,231,1980.4996607396438,1.1118873684413753,False,nan,0.9985056873559843,1.0,1.0,1.0,1.0,1.1901590823981678e-13,989652
51,latin_hypercube,joint,23.0,constant_sigma1,constant,1.0,0.0,166166440.9218692,17.878873841943573,9.522832028072857,54895.50486335944,0.0064475691900350565,0.9253910228726866,0.3642366327774715,2.5406313906872997,0.20833333333333334,223,70819.66429033091,1.2900813002195415,False,nan,0.9744752811197048,1.0,1.0,1.0,1.0,3.6415315207705135e-14,687139
52,latin_hypercube,joint,24.0,constant_sigma1,constant,1.0,0.0,1643570456.7093604,16.15437838845606,6.749358707853569,9184.125791299366,0.05301215035601854,0.2960975917338474,2.526478849307559,0.11719773225689181,0.20833333333333334,265,10768.9411130091,1.17256028039284,False,nan,0.991415346959791,1.0,1.0,1.0,1.0,7.549516567451064e-14,860059
53,latin_hypercube,joint,25.0,constant_sigma1,constant,1.0,0.0,122234018.2667716,28.67537452100666,8.931642660774033,28295.14547636729,0.034913036751583734,1.3877187029174964,0.6209276647185491,2.2349120223955787,0.20833333333333334,217,70075.98333843758,2.476607989061818,False,nan,0.9925570625713667,1.0,1.0,1.0,1.0,3.552713678800501e-14,667172
54,latin_hypercube,joint,26.0,constant_sigma1,constant,1.0,0.0,233775740.1588977,25.026098232624705,11.35087585002423,1538.221683445229,0.04293480658702652,0.6895053301280789,0.6501857299093641,1.060474412786937,0.20833333333333334,229,1636.1521126934704,1.0636647047055674,False,nan,0.9971086632709487,1.0,1.0,1.0,1.0,1.3145040611561853e-13,1282224
55,latin_hypercube,joint,27.0,constant_sigma1,constant,1.0,0.0,1492437771.645183,19.139706575553696,6.521935679819586,1248.860350338718,0.04744641886534283,1.7166039840834981,1.9943416743067772,0.8607371576288104,0.20833333333333334,263,1315.831997241521,1.0536262095955236,False,nan,0.9981091145350047,1.0,1.0,1.0,1.0,5.1958437552457326e-14,722158
56,latin_hypercube,joint,28.0,constant_sigma1,constant,1.0,0.0,536870947.6626914,20.684579991140417,4.416168409487867,39782.06679282038,0.07068391480696036,1.1691385444099063,2.8934242896841376,0.40406743960027236,0.20833333333333334,244,84335.96835875523,2.119949393226992,False,nan,0.9906056632480137,1.0,1.0,1.0,1.0,8.970602038971265e-14,537724
57,latin_hypercube,joint,29.0,constant_sigma1,constant,1.0,0.0,6007398042.836182,16.703238595564557,10.422279526948145,2055.749150298687,0.04385871888791213,0.8441247796190638,1.3060131884257558,0.6463371021823725,0.20833333333333334,289,2166.5625966022562,1.0539041673870906,False,nan,0.9957167887708633,1.0,1.0,1.0,1.0,6.181721801112872e-13,3743791
58,latin_hypercube,joint,30.0,constant_sigma1,constant,1.0,0.0,102181586.23653835,21.06035393475616,8.784217711398037,609.7499521608906,0.06459856746249386,0.41090354305567933,1.2650976515860657,0.3247998623193438,0.20833333333333334,214,631.909001656713,1.036341207436414,False,nan,0.9979356824641707,1.0,1.0,1.0,1.0,9.769962616701378e-15,183285
59,latin_hypercube,joint,31.0,constant_sigma1,constant,1.0,0.0,3062870475.7730317,23.056694617024583,9.936903218459074,631.8532976262148,0.07631026880743556,0.9808914759748725,0.9564417814752153,1.0255631811294839,0.20833333333333334,277,654.6040590927371,1.036006398244646,False,nan,0.9981761222199008,1.0,1.0,1.0,1.0,1.2967404927621828e-13,2361107
60,latin_hypercube,joint,32.0,constant_sigma1,constant,1.0,0.0,4520332463.4454975,29.755874941755536,4.676767437226822,26113.64444576148,0.008430353579801824,0.26318947834882944,0.5484186491989054,0.47990614238461743,0.20833333333333334,284,32457.031817251605,1.2429146718553765,False,nan,0.9823488604726027,1.0,1.0,1.0,1.0,9.818812429784884e-13,16748163
61,latin_hypercube,joint,33.0,constant_sigma1,constant,1.0,0.0,4607378927.866015,26.38605545076963,6.980741021110502,337.8242048751756,0.06070000195361138,1.2952229041480436,1.2039593908621906,1.0758028169210063,0.20833333333333334,284,348.1291152666166,1.0305037656944938,False,nan,0.998979243288148,1.0,1.0,1.0,1.0,3.6193270602780103e-13,3762013
62,latin_hypercube,joint,34.0,constant_sigma1,constant,1.0,0.0,1329674503.6287916,25.637513204793017,6.409156476656941,89780.07049735737,0.019483729856560685,0.7408909542447852,0.7575363841172091,0.9780268905607464,0.20833333333333334,261,11820734.234380476,131.66323181633516,True,1.8800000000000001,0.9920800211439689,1.0,1.0,1.0,1.0,7.949196856316121e-13,8638904
63,latin_hypercube,joint,35.0,constant_sigma1,constant,1.0,0.0,307346769.01869756,28.064181290205518,8.59545751168109,1867.9413667295266,0.03836629186951752,0.6361787309545632,0.7177427464720567,0.8863603764462857,0.20833333333333334,234,2024.7985343495,1.083973282252754,False,nan,0.9972038900935418,1.0,1.0,1.0,1.0,3.028688411177427e-13,1668433
64,latin_hypercube,joint,36.0,constant_sigma1,constant,1.0,0.0,1033564496.1575968,26.59508264858296,7.050260241685844,131.95918141617133,0.005031905707675859,0.4937278329369056,0.34226226201840093,1.4425424235359068,0.20833333333333334,257,133.65432671835322,1.012845982249888,False,nan,0.9988141617911658,1.0,1.0,1.0,1.0,3.398614722982529e-12,10911416
65,latin_hypercube,joint,37.0,constant_sigma1,constant,1.0,0.0,9548965411.682337,29.169930051195397,8.647997511309342,222.36340920579767,0.005363285769469234,0.6098220543399528,0.2345589136309174,2.599867320751317,0.20833333333333334,298,231.81559166937012,1.0425078141108388,False,nan,0.9993815728574783,1.0,1.0,1.0,1.0,1.5266898856225453e-11,106337050
66,latin_hypercube,joint,38.0,constant_sigma1,constant,1.0,0.0,5167149496.439302,18.683734276842998,10.24362197505718,6591.744735342204,0.03330456372973718,1.5479290311042881,0.9488466281024796,1.631379598407663,0.20833333333333334,286,7187.860795983218,1.090433729547336,False,nan,0.993245634891027,1.0,1.0,1.0,1.0,7.220890552162018e-13,3878963
67,latin_hypercube,joint,39.0,constant_sigma1,constant,1.0,0.0,196514665.308962,23.88844298878847,9.424653339692771,251.35932048995846,0.0617617040808209,1.1498596272602186,0.9694658020870283,1.186075491043465,0.20833333333333334,226,254.94495405496232,1.014264971587346,False,nan,0.9983465932370619,1.0,1.0,1.0,1.0,1.7763568394002505e-14,338238
68,latin_hypercube,joint,40.0,constant_sigma1,constant,1.0,0.0,146002002.5042165,16.23740369143555,9.274991767598284,67794.19877083761,0.0688800051573276,1.4213830724552465,1.7037278492971766,0.8342782405309609,0.20833333333333334,220,1070745.7227696963,15.794061176076452,False,nan,0.9883021830180644,1.0,1.0,1.0,1.0,3.197442310920451e-14,215704
69,latin_hypercube,joint,41.0,constant_sigma1,constant,1.0,0.0,424814479.89187706,21.259789892640242,9.725149008647378,3069.4460847779123,0.05764919752362973,1.6516916355778817,1.1030547668926498,1.497379536494606,0.20833333333333334,240,3446.1136004645255,1.122715143150614,False,nan,0.997712014425288,1.0,1.0,1.0,1.0,1.509903313490213e-14,322967
70,latin_hypercube,joint,42.0,constant_sigma1,constant,1.0,0.0,185782787.6727507,28.160034817867967,5.425839990495229,161.91120980443264,0.013447145192956589,1.42469883477013,0.6501470706272205,2.191348541178031,0.20833333333333334,225,164.45726643309587,1.0157250176299624,False,nan,0.9991222460374736,1.0,1.0,1.0,1.0,4.75175454539567e-14,882523
71,latin_hypercube,joint,43.0,constant_sigma1,constant,1.0,0.0,3909295668.763564,22.6256655678839,7.857159415725045,192.5502387002521,0.008202974527285497,1.4519473359074047,0.4394404833985507,3.3040818740192415,0.20833333333333334,281,196.7366958787449,1.0217421552253174,False,nan,0.9992442767526643,1.0,1.0,1.0,1.0,2.020605904817785e-12,17057202
72,latin_hypercube,joint,44.0,constant_sigma1,constant,1.0,0.0,2523823204.4462113,27.495120089362075,7.536366152640133,10235.377574678696,0.009654933148963957,0.6511374249085298,0.3807015973071095,1.7103616835714546,0.20833333333333334,273,12534.435476837209,1.2246187681289016,False,nan,0.992795071294438,1.0,1.0,1.0,1.0,1.7789325568173808e-11,26149973
73,latin_hypercube,joint,45.0,constant_sigma1,constant,1.0,0.0,495956440.4739831,26.143033001686653,5.162041317581045,22394.02693309123,0.007539754154370641,0.5208837949094722,0.5502366345146876,0.9466541524791333,0.20833333333333334,243,29650.509215818016,1.3240365077887808,False,nan,0.9872605601615483,1.0,1.0,1.0,1.0,5.839773109528323e-13,3462274
74,latin_hypercube,joint,46.0,constant_sigma1,constant,1.0,0.0,6786491900.717426,24.47383384594516,8.148274223646855,48873.38797002918,0.05100367158881352,0.8855806876942346,1.1161423739657987,0.7934298601599108,0.20833333333333334,291,59957.3300396481,1.22678890353204,False,nan,0.9700644084792552,1.0,1.0,1.0,1.0,1.1368683772161603e-12,8920593
