source_task_id,design,axis,model_label,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,assembly_over_dynamical_time,screen_final_mass_msun,small_boundary_final_mass_msun,grid_final_mass_msun,boundary_relative_difference,grid_relative_difference,terminal_mass_passes_five_percent,threshold_classification,small_boundary_time_to_1e7_msun_myr
117,main_effect,assembly_time_myr,vd_low_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.0,2.1270644711658044,2648503.7412402015,1840729.3471042344,2678271.159437018,0.35987188824444066,0.011176525665851577,False,robust_failure,nan
118,main_effect,assembly_time_myr,vd_low_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.5,3.190596706748707,2528772.7348723616,1730252.656421657,nan,0.37497784356157154,nan,False,robust_failure,nan
124,latin_hypercube,joint,vd_low_transport,727920048.1819899,18.12362802015318,10.32921357912742,64763.56789132588,0.006973562442957025,1.5097133127601117,3.976407597601751,104890.47750709526,1504499.5214372089,nan,1.7393037670772173,nan,False,robust_failure,nan
130,latin_hypercube,joint,vd_low_transport,2286887832.3124833,29.348556121200808,4.094957314804988,85823.71165173,0.016472245098852506,1.0380407214356973,1.100850775976592,182187.81040689882,348150.20360614586,nan,0.625874023034543,nan,False,robust_failure,nan
131,latin_hypercube,joint,vd_low_transport,659437543.7726965,24.83430414288211,7.376089219015792,43238.11171977849,0.04826468481077741,0.7864664338252743,0.6552901253803666,95419.89853995833,323648.502768813,nan,1.089218865063963,nan,False,robust_failure,nan
154,latin_hypercube,joint,vd_low_transport,1329674503.6287916,25.637513204793017,6.409156476656941,89780.07049735737,0.019483729856560685,0.7408909542447852,0.9780268905607464,187408.8766044954,732706.4834059596,nan,1.185280956064614,nan,False,robust_failure,nan
160,latin_hypercube,joint,vd_low_transport,146002002.5042165,16.23740369143555,9.274991767598284,67794.19877083761,0.0688800051573276,1.4213830724552465,0.8342782405309609,137721.8246685146,292169.68674415967,nan,0.7185434370086125,nan,False,robust_failure,nan
166,latin_hypercube,joint,vd_low_transport,6786491900.717426,24.47383384594516,8.148274223646855,48873.38797002918,0.05100367158881352,0.8855806876942346,0.7934298601599108,74468.21477288632,76881.62389157116,nan,0.03189179638354772,nan,True,robust_failure,nan
177,latin_hypercube,joint,vd_low_transport,2094694929.1385748,22.359290343318172,10.584404783206537,35629.22814420115,0.00721667838727271,1.6937901813265581,5.876006734944668,82783.74232761649,3462914.848012653,nan,1.906609385746269,nan,False,robust_failure,nan
178,latin_hypercube,joint,vd_low_transport,915829176.116028,26.8374356259621,10.956875608884282,76227.02740580199,0.038266009122837966,1.0499821691859914,1.8501447409007252,2400327.4393993597,1510768.9187453375,nan,0.4548895957531464,nan,False,robust_failure,nan
184,main_effect,baseline,vd_matched_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.25,2.658830588957256,5801334.463004611,4901134.596354025,nan,0.1682228393575065,nan,False,robust_failure,nan
187,main_effect,halo_mass_msun,vd_matched_transport,3000000000.0,30.0,8.0,100000.0,0.02,1.25,2.647889347960838,10958662.062190037,9120351.942556428,10997394.454901004,0.18310760869025267,0.003528173894143231,False,boundary_ambiguous,nan
194,main_effect,halo_concentration,vd_matched_transport,1000000000.0,30.0,10.0,100000.0,0.02,1.25,3.486303257389166,6484000.071214483,5451053.401235876,6504604.524889347,0.1730946027787734,0.0031726970395333626,False,robust_failure,nan
195,main_effect,halo_concentration,vd_matched_transport,1000000000.0,30.0,12.0,100000.0,0.02,1.25,4.3671526259918325,7036849.53813938,5889761.739476888,7060539.5515025975,0.177476954172636,0.0033609079259398628,False,robust_failure,nan
201,main_effect,black_hole_seed_msun,vd_matched_transport,1000000000.0,30.0,8.0,40000.0,0.02,1.25,2.6489855056639144,5816566.318686071,4923167.6508844765,nan,0.16637258806091618,nan,False,robust_failure,nan
204,main_effect,scale_radius_over_rs,vd_matched_transport,1000000000.0,30.0,8.0,100000.0,0.04,1.25,1.714787919445364,6224429.530013924,5147883.019287696,nan,0.1893276334182953,nan,False,robust_failure,nan
208,main_effect,assembly_time_myr,vd_matched_transport,1000000000.0,30.0,8.0,100000.0,0.02,0.75,1.5952983533743534,5811079.776280677,4931577.380357105,nan,0.16374019632193806,nan,False,robust_failure,nan
209,main_effect,assembly_time_myr,vd_matched_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.0,2.1270644711658044,5861426.191050667,4961180.9272729745,nan,0.16636384448503114,nan,False,robust_failure,nan
216,latin_hypercube,joint,vd_matched_transport,727920048.1819899,18.12362802015318,10.32921357912742,64763.56789132588,0.006973562442957025,1.5097133127601117,3.976407597601751,189253.17118174638,2113611.098500481,nan,1.6712734247114591,nan,False,robust_failure,nan
222,latin_hypercube,joint,vd_matched_transport,2286887832.3124833,29.348556121200808,4.094957314804988,85823.71165173,0.016472245098852506,1.0380407214356973,1.100850775976592,5422618.753108922,4549442.5532139605,nan,0.1751245149969778,nan,False,robust_failure,nan
223,latin_hypercube,joint,vd_matched_transport,659437543.7726965,24.83430414288211,7.376089219015792,43238.11171977849,0.04826468481077741,0.7864664338252743,0.6552901253803666,3519102.0392116783,2836550.1910148906,nan,0.21478577602174934,nan,False,robust_failure,nan
240,latin_hypercube,joint,vd_matched_transport,536870947.6626914,20.684579991140417,4.416168409487867,39782.06679282038,0.07068391480696036,1.1691385444099063,0.40406743960027236,75392.23877522223,93119.378062402,nan,0.21039664350572854,nan,False,robust_failure,nan
246,latin_hypercube,joint,vd_matched_transport,1329674503.6287916,25.637513204793017,6.409156476656941,89780.07049735737,0.019483729856560685,0.7408909542447852,0.9780268905607464,5159794.838218757,4397024.5103090815,nan,0.1596284914660807,nan,False,robust_failure,nan
252,latin_hypercube,joint,vd_matched_transport,146002002.5042165,16.23740369143555,9.274991767598284,67794.19877083761,0.0688800051573276,1.4213830724552465,0.8342782405309609,1136975.6550829457,920134.9813318588,nan,0.21082062375507765,nan,False,robust_failure,nan
269,latin_hypercube,joint,vd_matched_transport,2094694929.1385748,22.359290343318172,10.584404783206537,35629.22814420115,0.00721667838727271,1.6937901813265581,5.876006734944668,5810774.142554341,5011305.128625278,nan,0.14774776526690872,nan,False,robust_failure,nan
270,latin_hypercube,joint,vd_matched_transport,915829176.116028,26.8374356259621,10.956875608884282,76227.02740580199,0.038266009122837966,1.0499821691859914,1.8501447409007252,6961509.948478519,5780236.712453667,6984046.155948892,0.1854177872876386,0.0032320270775316722,False,robust_failure,nan
282,main_effect,halo_redshift,vd_high_transport,1000000000.0,20.0,8.0,100000.0,0.02,1.25,1.4825597345093593,9058010.69863247,6724321.756189539,9086857.9557567,0.295734353477,0.003179660065188979,False,robust_failure,nan
283,main_effect,halo_redshift,vd_high_transport,1000000000.0,25.0,8.0,100000.0,0.02,1.25,2.042298237885069,11476712.815759782,9004610.653419465,11510613.461469356,0.24140062687456615,0.002949507506939216,False,boundary_ambiguous,nan
285,main_effect,halo_concentration,vd_high_transport,1000000000.0,30.0,6.0,100000.0,0.02,1.25,1.8911466082157615,10366888.80470177,7625410.016142618,10401441.206472093,0.30473913487731774,0.0033274126279516443,False,boundary_ambiguous,nan
295,main_effect,scale_radius_over_rs,vd_high_transport,1000000000.0,30.0,8.0,100000.0,0.01,1.25,4.00887650306842,11110590.922381353,9558834.233342748,11141788.830469493,0.15014996085741336,0.002804006441975564,False,boundary_ambiguous,nan
296,main_effect,scale_radius_over_rs,vd_high_transport,1000000000.0,30.0,8.0,100000.0,0.04,1.25,1.714787919445364,7812386.894410719,4392655.241677738,nan,0.5603801469265484,nan,False,robust_failure,nan
299,main_effect,assembly_time_myr,vd_high_transport,1000000000.0,30.0,8.0,100000.0,0.02,0.5,1.0635322355829022,13275601.335760387,10769698.115660183,nan,0.208431857973984,nan,False,robust_success,1.74
302,main_effect,assembly_time_myr,vd_high_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.5,3.190596706748707,12909741.756399428,10255137.393388556,nan,0.2291921616206807,nan,False,robust_success,1.96
303,main_effect,assembly_time_myr,vd_high_transport,1000000000.0,30.0,8.0,100000.0,0.02,1.75,3.722362824540158,12257031.639309792,9611781.153164804,nan,0.24191989855574236,nan,False,boundary_ambiguous,nan
308,latin_hypercube,joint,vd_high_transport,727920048.1819899,18.12362802015318,10.32921357912742,64763.56789132588,0.006973562442957025,1.5097133127601117,3.976407597601751,101163.17619497521,5276046.87417817,nan,1.9247467179096305,nan,False,robust_failure,nan
314,latin_hypercube,joint,vd_high_transport,2286887832.3124833,29.348556121200808,4.094957314804988,85823.71165173,0.016472245098852506,1.0380407214356973,1.100850775976592,12596513.855327366,8054657.816090585,nan,0.43986424707542304,nan,False,boundary_ambiguous,nan
315,latin_hypercube,joint,vd_high_transport,659437543.7726965,24.83430414288211,7.376089219015792,43238.11171977849,0.04826468481077741,0.7864664338252743,0.6552901253803666,83878.87508919246,581158.8328767255,nan,1.495494020357167,nan,False,robust_failure,nan
327,latin_hypercube,joint,vd_high_transport,166166440.9218692,17.878873841943573,9.522832028072857,54895.50486335944,0.0064475691900350565,0.9253910228726866,2.5406313906872997,64853.37574081482,72110.14623186871,nan,0.10596647029128241,nan,False,robust_failure,nan
338,latin_hypercube,joint,vd_high_transport,1329674503.6287916,25.637513204793017,6.409156476656941,89780.07049735737,0.019483729856560685,0.7408909542447852,0.9780268905607464,12220666.08770185,9369982.156865155,nan,0.26406654386155637,nan,False,boundary_ambiguous,nan
344,latin_hypercube,joint,vd_high_transport,146002002.5042165,16.23740369143555,9.274991767598284,67794.19877083761,0.0688800051573276,1.4213830724552465,0.8342782405309609,130646.06177159645,341686.9800502295,nan,0.8936106500812713,nan,False,robust_failure,nan
350,latin_hypercube,joint,vd_high_transport,6786491900.717426,24.47383384594516,8.148274223646855,48873.38797002918,0.05100367158881352,0.8855806876942346,0.7934298601599108,72828.38464583422,80407.11281956738,nan,0.09891609058070026,nan,False,robust_failure,nan
362,latin_hypercube,joint,vd_high_transport,915829176.116028,26.8374356259621,10.956875608884282,76227.02740580199,0.038266009122837966,1.0499821691859914,1.8501447409007252,12580605.517311629,8693091.285353998,nan,0.36547613402768053,nan,False,boundary_ambiguous,nan
