formation_redshift,observation_redshift,available_time_myr,seed_mass_msun,target_mass_msun,required_eddington_activity,sub_eddington_feasible
20.0,11.0,235.39665493078812,1000.0,1000000.0,1.4688576154484085,False
20.0,11.0,235.39665493078812,1000.0,10000000.0,1.958476820597878,False
20.0,11.0,235.39665493078812,100000.0,100000.0,0.0,True
20.0,11.0,235.39665493078812,100000.0,1000000.0,0.4896192051494695,True
20.0,11.0,235.39665493078812,100000.0,10000000.0,0.979238410298939,True
20.0,8.0,458.8536980713849,1.0,100000.0,1.2558983785734465,False
20.0,8.0,458.8536980713849,1.0,1000000.0,1.507078054288136,False
20.0,8.0,458.8536980713849,1.0,10000000.0,1.7582577300028253,False
20.0,8.0,458.8536980713849,10.0,100000.0,1.0047187028587574,False
20.0,8.0,458.8536980713849,10.0,1000000.0,1.2558983785734465,False
20.0,8.0,458.8536980713849,10.0,10000000.0,1.507078054288136,False
20.0,8.0,458.8536980713849,100.0,100000.0,0.753539027144068,True
20.0,8.0,458.8536980713849,100.0,1000000.0,1.0047187028587574,False
20.0,8.0,458.8536980713849,100.0,10000000.0,1.2558983785734465,False
20.0,8.0,458.8536980713849,1000.0,100000.0,0.5023593514293787,True
20.0,8.0,458.8536980713849,1000.0,1000000.0,0.753539027144068,True
20.0,8.0,458.8536980713849,1000.0,10000000.0,1.0047187028587574,False
20.0,8.0,458.8536980713849,100000.0,100000.0,0.0,True
20.0,8.0,458.8536980713849,100000.0,1000000.0,0.25117967571468935,True
20.0,8.0,458.8536980713849,100000.0,10000000.0,0.5023593514293787,True
20.0,6.0,750.4115260611635,1.0,100000.0,0.7679434488900854,True
20.0,6.0,750.4115260611635,1.0,1000000.0,0.9215321386681025,True
20.0,6.0,750.4115260611635,1.0,10000000.0,1.0751208284461196,False
20.0,6.0,750.4115260611635,10.0,100000.0,0.6143547591120684,True
20.0,6.0,750.4115260611635,10.0,1000000.0,0.7679434488900854,True
20.0,6.0,750.4115260611635,10.0,10000000.0,0.9215321386681025,True
20.0,6.0,750.4115260611635,100.0,100000.0,0.46076606933405123,True
20.0,6.0,750.4115260611635,100.0,1000000.0,0.6143547591120684,True
20.0,6.0,750.4115260611635,100.0,10000000.0,0.7679434488900854,True
20.0,6.0,750.4115260611635,1000.0,100000.0,0.3071773795560342,True
20.0,6.0,750.4115260611635,1000.0,1000000.0,0.46076606933405123,True
20.0,6.0,750.4115260611635,1000.0,10000000.0,0.6143547591120684,True
20.0,6.0,750.4115260611635,100000.0,100000.0,0.0,True
