task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
50,10000000.0,20.0,3.0,50.0,1000.0,4144.748598914211,4.1447485989142105,3056.9847657101936,87.76383320391106,0.9720919398026541,0.5555555555555556,1.8385293287792592e-13,400850
51,10000000.0,20.0,3.0,100.0,1000.0,3036.998607521628,3.0369986075216278,1961.9454310009678,75.05317652057431,0.9631550182491407,0.5555555555555556,8.526512829121202e-14,382988
52,10000000.0,20.0,5.0,10.0,1000.0,27771.40477677658,27.77140477677658,26399.91982187053,371.48495490614266,0.986123815391701,0.3333333333333333,1.4450662888521038e-12,1500948
53,10000000.0,20.0,5.0,30.0,1000.0,10315.925885079001,10.315925885079,9158.000798328665,157.92508675016788,0.9830478377889117,0.3333333333333333,3.526068326209497e-13,1073981
54,10000000.0,20.0,5.0,50.0,1000.0,6666.160580218256,6.666160580218255,5545.545493956052,120.61508626207912,0.9787130836561011,0.3333333333333333,8.881784197001252e-14,977200
55,10000000.0,20.0,5.0,100.0,1000.0,4711.657608985782,4.711657608985782,3611.3402915230995,100.31731746279841,0.9729723675966722,0.3333333333333333,1.3500311979441904e-13,920880
56,10000000.0,20.0,8.0,10.0,1000.0,45693.39444894689,45.69339444894689,44073.115533686505,620.2789152568866,0.9861214632965744,0.20833333333333331,3.5349501104064984e-13,3785753
57,10000000.0,20.0,8.0,30.0,1000.0,17858.503978586286,17.858503978586285,16609.677982537527,248.82599604872024,0.9852403275898728,0.20833333333333331,4.440892098500626e-13,2595291
58,10000000.0,20.0,8.0,50.0,1000.0,11789.404580241691,11.78940458024169,10602.163827907836,187.2407523339163,0.9826458679029663,0.20833333333333331,2.469136006766348e-13,2335418
59,10000000.0,20.0,8.0,100.0,1000.0,8202.95964907667,8.202959649076671,7051.995770211974,150.9638788650373,0.9790414098898849,0.20833333333333331,3.6148861681795097e-13,2162307
60,10000000.0,30.0,3.0,10.0,1000.0,28796.152698501664,28.796152698501665,27424.82642830738,371.32627019457107,0.9866410911530825,0.5555555555555555,6.368239269249898e-13,1248666
61,10000000.0,30.0,3.0,30.0,1000.0,10067.290585780489,10.067290585780489,8911.791939697318,155.49864608322753,0.9828505941645868,0.5555555555555555,1.0302869668521453e-13,891106
62,10000000.0,30.0,3.0,50.0,1000.0,6766.804351869676,6.766804351869676,5644.207082455335,122.59726941420917,0.9787408654891173,0.5555555555555555,8.704148513061227e-14,820189
63,10000000.0,30.0,3.0,100.0,1000.0,5021.685595154736,5.021685595154736,3916.420769653655,105.26482550115271,0.9738256949703123,0.5555555555555555,7.016609515630989e-14,780716
64,10000000.0,30.0,5.0,10.0,1000.0,49540.3469302569,49.5403469302569,47897.9841779084,642.3627523510899,0.986766416126538,0.3333333333333333,8.419931418757187e-13,3391286
65,10000000.0,30.0,5.0,30.0,1000.0,18539.74947000574,18.539749470005738,17284.224598209435,255.52487179675649,0.9854316692360247,0.3333333333333333,7.593925488436071e-13,2325138
