task_id,configuration,feedback_heating_fraction,feedback_efficiency,cooling_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,transition_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,peak_sound_speed_km_s,final_density_fraction,retained_thermal_energy_fraction,final_thermal_energy_erg,cooling_loss_energy_erg,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
24,heating_threshold,1.0,5e-05,1.0,True,eddington_at_end,nan,1.16,1.3027626298058015,15.147022655772835,15.147022655772835,0.9996027302282687,0.6522523688194947,1.1577149554239805e+50,6.172344518419797e+49,1291.7399208391482,17.877139727912667,3.765876499528531e-13
25,heating_threshold,1.0,5e-05,3.0,True,eddington_at_end,nan,1.29,1.0277312722357734,16.391694474445146,16.391694474445146,0.9996054106073342,0.8558498390251584,1.5088408634684296e+50,2.541329605227623e+49,1291.5452206613863,17.756522669955892,3.597122599785507e-13
26,heating_threshold,1.0,5e-05,inf,False,bondi_throughout,nan,nan,0.9142574506454447,17.039991476750963,17.039991476750963,0.9996188953570322,1.000000000000019,1.7027257251258703e+50,0.0,1291.2425679009575,17.14970893354917,2.424727085781342e-13
27,heating_strong,1.0,0.0001,0.001,True,eddington_at_end,nan,0.89,4.488571940306631,10.031197168394533,10.031197168394533,0.9995950768264815,0.001544808545107547,5.589561621566671e+47,3.6126980503087098e+50,1292.4433099715745,18.221542808336004,3.090860900556436e-13
28,heating_strong,1.0,0.0001,0.003,True,eddington_at_end,nan,0.9,4.4064711713187155,10.093078951719113,10.093078951719113,0.9995951755244192,0.004624411443490671,1.672837218979591e+48,3.600677300772715e+50,1292.4328461117038,18.21710140113369,2.922107000813412e-13
29,heating_strong,1.0,0.0001,0.01,True,eddington_at_end,nan,0.91,4.140666056405092,10.304463067729662,10.304463067729662,0.9995955166099213,0.015298570047949633,5.5294506319613097e+48,3.5590633157713383e+50,1292.3969222655992,18.201752553533808,3.3306690738754696e-13
30,heating_strong,1.0,0.0001,0.03,True,eddington_at_end,nan,0.93,3.5292293781910877,10.867791228696452,10.867791228696452,0.9995964577057508,0.04491883588603284,1.6197500600156301e+49,3.4439734298065843e+50,1292.2997127973545,18.159403241213177,2.424727085781342e-13
31,heating_strong,1.0,0.0001,0.1,True,eddington_at_end,nan,1.02,2.3318959424338828,12.476364737002614,12.476364737002614,0.9995994659933518,0.13910040874282972,4.978497054746994e+49,3.081217458843481e+50,1292.0074302903984,18.024030299167144,3.7481129311345285e-13
32,heating_strong,1.0,0.0001,0.3,True,eddington_at_end,nan,1.28,1.2559582989922802,15.330850461034947,15.330850461034947,0.9996072401851379,0.3441515430743126,1.2078339179851052e+50,2.3017651010851e+50,1291.3746044239153,17.67419166879438,3.481659405224491e-13
33,heating_strong,1.0,0.0001,1.0,False,bondi_throughout,nan,nan,0.8077118267330022,17.742654955872773,17.742654955872773,0.9996680539125413,0.6477796334009331,1.921433228270029e+50,1.0447502223924091e+50,1289.6147174928137,14.937573935640668,2.5934809855243657e-13
